city,activity_name,cost_usd,category,ideal_weather,description
Madrid,Museo del Prado,15,cultura,any,"El museo de arte más importante de España con obras de Goya, Velázquez y El Greco"
Madrid,Palacio Real,12,cultura,any,"Residencia oficial del Rey de España, uno de los palacios más grandes de Europa"
Madrid,Parque del Retiro,0,aventura,sunny,"Parque histórico perfecto para caminar, remar en bote y disfrutar de la naturaleza"
Madrid,Plaza Mayor,0,cultura,any,"Plaza histórica del siglo XVII, corazón de Madrid con arquitectura barroca"
Madrid,Tapas Tour,45,gastronomia,any,Recorrido gastronómico por bares tradicionales probando tapas y vinos españoles
Madrid,Estadio Santiago Bernabéu,25,deportes,any,"Visita al estadio del Real Madrid, uno de los clubes de fútbol más famosos del mundo"
New York,Estatua de la Libertad,24,cultura,any,"Monumento icónico de Nueva York, símbolo de libertad y democracia"
New York,Central Park,0,aventura,sunny,"Parque urbano más grande de Manhattan, ideal para caminar, correr y relajarse"
New York,Museo Metropolitano,30,cultura,any,Uno de los museos de arte más grandes del mundo con colecciones de todas las épocas
New York,Empire State Building,38,cultura,any,Rascacielos histórico con vistas panorámicas de toda la ciudad
New York,Broadway Show,120,entretenimiento,any,Espectáculo de teatro musical en el distrito teatral más famoso del mundo
New York,High Line,0,aventura,sunny,Parque elevado construido sobre una línea de ferrocarril abandonada
Miami,South Beach,0,aventura,sunny,"Playa icónica con arena blanca, aguas turquesas y arquitectura Art Deco"
Miami,Art Deco Historic District,0,cultura,any,"Distrito con más de 800 edificios Art Deco de los años 30 y 40"
Miami,Wynwood Walls,12,cultura,any,Galería al aire libre con murales de arte callejero de artistas internacionales
Miami,Key West Day Trip,150,aventura,sunny,"Excursión a las islas Keys, el punto más al sur de Estados Unidos continental"
Miami,Little Havana Food Tour,65,gastronomia,any,Recorrido culinario por el barrio cubano probando comida auténtica y café cubano
Miami,Acuario de Miami,35,aventura,any,Acuario con más de 500 especies marinas y shows de delfines
Santiago,Palacio de La Moneda,0,cultura,any,"Sede del gobierno chileno, palacio neoclásico del siglo XVIII"
Santiago,Cerro San Cristóbal,0,aventura,sunny,"Colina con vista panorámica de la ciudad, accesible por funicular o teleférico"
Santiago,Museo de la Memoria,0,cultura,any,Museo dedicado a la memoria de las víctimas de la dictadura militar
Santiago,Barrio Lastarria,0,cultura,any,"Barrio bohemio con galerías de arte, cafés y arquitectura histórica"
Santiago,Viña Concha y Toro,25,gastronomia,any,Visita a una de las viñas más famosas de Chile con degustación de vinos
Santiago,Valle Nevado,80,aventura,any,"Centro de esquí en la cordillera de los Andes, abierto todo el año"
Lima,Centro Histórico,0,cultura,any,Patrimonio de la Humanidad UNESCO con arquitectura colonial española
Lima,Museo Larco,12,cultura,any,Museo con la mejor colección de arte precolombino del Perú
Lima,Barranco,0,cultura,any,"Barrio bohemio con arte callejero, galerías y vida nocturna"
Lima,Circuito Mágico del Agua,4,entretenimiento,any,Parque con 13 fuentes ornamentales y espectáculo de luces y música
Lima,Comida Peruana Tour,55,gastronomia,any,"Recorrido culinario probando ceviche, causa limeña y otros platos peruanos"
