destination,airline,flight_number,price_usd,departure_time,arrival_time,duration_hours
Madrid,Aerolineas Argentinas,AR1134,850,08:30,23:45,11.25
Madrid,Iberia,IB6832,920,14:20,06:15+1,11.92
Madrid,Air Europa,UX41,780,22:10,14:30+1,12.33
New York,American Airlines,AA996,720,23:45,08:20+1,10.58
New York,United Airlines,UA842,750,10:15,19:30,11.25
New York,Delta,DL180,680,16:30,02:15+1,11.75
Miami,American Airlines,AA904,650,01:20,08:45,9.42
Miami,LATAM,LA4024,720,12:30,20:15,9.75
Miami,United Airlines,UA802,690,18:45,03:30+1,10.75
Santiago,LATAM,LA402,420,09:15,12:30,3.25
Santiago,Aerolineas Argentinas,AR1420,450,14:00,17:20,3.33
Santiago,Sky Airline,H2120,380,20:30,23:45,3.25
Lima,LATAM,LA2480,480,07:45,11:20,5.58
Lima,Avianca,AV246,520,13:30,17:10,5.67
Lima,Aerolineas Argentinas,AR1424,490,19:00,22:35,5.58
Rio de Janeiro,LATAM,LA4028,580,10:20,15:45,7.42
Rio de Janeiro,GOL,G3120,620,16:00,21:30,7.50
Rio de Janeiro,Aerolineas Argentinas,AR1138,590,22:15,03:50+1,7.58
Paris,Air France,AF418,880,09:45,23:30,11.75
Paris,Aerolineas Argentinas,AR1132,920,15:20,05:10+1,11.83
Paris,KLM,KL702,850,21:00,10:45+1,11.75
Barcelona,Aerolineas Argentinas,AR1136,820,09:00,23:20,10.33
Barcelona,Vueling,VY1002,890,15:30,07:45+1,12.25
Barcelona,Air Europa,UX43,760,21:45,13:20+1,11.58
Rome,Alitalia,AZ680,870,08:15,22:40,12.42
Rome,Aerolineas Argentinas,AR1130,900,14:50,05:25+1,12.58
Rome,Lufthansa,LH510,840,20:30,11:15+1,12.75
London,British Airways,BA248,950,10:30,00:45+1,12.25
London,Aerolineas Argentinas,AR1128,980,16:15,06:30+1,12.25
London,Virgin Atlantic,VS201,920,22:00,12:20+1,12.33
